dc_bias,time,voltage,current
0.8,0.2,0.8,15.71277
0.8,0.22,0.8,15.77465
0.8,0.24,0.8,15.68584
0.8,0.26,0.8,15.74179
0.8,0.28,0.8,15.78463
0.8,0.3,0.8,15.65535
0.8,0.32,0.8,15.82205
0.8,0.34,0.8,15.6847
0.8,0.36,0.8,15.75759
0.8,0.38,0.8,15.82876
0.8,0.4,0.8,15.95309
0.8,0.42,0.8,15.79422
0.8,0.44,0.8,15.93497
0.8,0.46,0.8,15.77146
0.8,0.48,0.8,15.77506
0.8,0.5,0.8,15.77584
0.8,0.52,0.8,15.80266
0.8,0.54,0.8,15.64287
0.8,0.56,0.8,15.73352
0.8,0.58,0.8,15.812
0.8,0.6,0.8,15.93263
0.8,0.62,0.8,15.64186
0.8,0.64,0.8,15.45578
0.8,0.66,0.8,15.7435
0.8,0.68,0.8,15.82216
0.8,0.7000000000000001,0.8,15.75163
0.8,0.72,0.8,15.65648
0.8,0.74,0.8,15.76397
0.8,0.76,0.8,15.78399
0.8,0.78,0.8,15.76853
0.8,0.8,0.8,15.73109
0.8,0.8200000000000001,0.8,15.93083
0.8,0.84,0.8,15.78169
0.8,0.86,0.8,15.75272
0.8,0.88,0.8,15.70436
0.8,0.9,0.8,15.75004
0.8,0.92,0.8,15.70768
0.8,0.9400000000000001,0.8,15.64166
0.8,0.96,0.8,15.76348
0.8,0.98,0.8,15.7136
0.8,1.0,0.8,15.77433
0.8,1.02,0.8,15.58842
0.8,1.04,0.8,15.67041
0.8,1.06,0.8,15.72026
0.8,1.08,0.8,15.77145
0.8,1.1,0.8,15.74962
0.8,1.12,0.8,15.80139
0.8,1.1400000000000001,0.8,15.73554
0.8,1.16,0.8,15.83631
0.8,1.18,0.8,15.81861
0.8,1.2,0.8,15.73439
0.8,1.22,0.8,15.7472
0.8,1.24,0.8,15.69428
0.8,1.26,0.8,15.73984
0.8,1.28,0.8,15.95014
0.8,1.3,0.8,15.73659
0.8,1.32,0.8,15.8546
0.8,1.34,0.8,15.64252
0.8,1.36,0.8,15.73307
0.8,1.3800000000000001,0.8,15.65939
0.8,1.4000000000000001,0.8,15.75987
0.8,1.42,0.8,15.71353
0.8,1.44,0.8,15.7903
0.8,1.46,0.8,15.68779
0.8,1.48,0.8,15.72856
0.8,1.5,0.8,15.77184
0.8,1.52,0.8,15.76195
0.8,1.54,0.8,15.7107
0.8,1.56,0.8,15.67023
0.8,1.58,0.8,15.75797
0.8,1.6,0.8,15.75768
0.8,1.62,0.8,15.77501
0.8,1.6400000000000001,0.8,15.72863
0.8,1.6600000000000001,0.8,15.69768
0.8,1.68,0.8,15.7701
0.8,1.7,0.8,15.85835
0.8,1.72,0.8,15.84605
0.8,1.74,0.8,15.79356
0.8,1.76,0.8,15.74338
0.8,1.78,0.8,15.80466
0.8,1.8,0.8,15.74393
0.8,1.82,0.8,15.71968
0.8,1.84,0.8,15.76658
0.8,1.86,0.8,15.65693
0.8,1.8800000000000001,0.8,15.68758
0.8,1.9000000000000001,0.8,15.92132
0.8,1.92,0.8,15.84145
0.8,1.94,0.8,15.73511
0.8,1.96,0.8,15.73822
0.8,1.98,0.8,15.75937
0.8,2.0,0.8,15.79335
0.8,2.02,0.8,15.77368
0.8,2.04,0.8,15.74284
0.8,2.06,0.8,15.68755
0.8,2.08,0.8,15.67299
0.8,2.1,0.8,15.69299
0.8,2.12,0.8,15.63823
0.8,2.14,0.8,15.66697
0.8,2.16,0.8,15.6997
0.8,2.18,0.8,15.77854
0.8,2.2,0.8,15.86998
0.8,2.22,0.8,15.75882
0.8,2.24,0.8,15.82121
0.8,2.2600000000000002,0.8,15.60013
0.8,2.2800000000000002,0.8,15.74532
0.8,2.3000000000000003,0.8,15.74062
0.8,2.32,0.8,15.75601
0.8,2.34,0.8,15.75418
0.8,2.36,0.8,15.65725
0.8,2.38,0.8,15.69074
0.8,2.4,0.8,15.74626
0.8,2.42,0.8,15.77511
0.8,2.44,0.8,15.77119
0.8,2.46,0.8,15.69675
0.8,2.48,0.8,15.73468
0.8,2.5,0.8,15.73612
